Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
Job138 ; 2.999997139e-003 ; 0. ; 9.999990463e-004 ; 9.000003338e-003 ; 7.000002265e-003 ; 0. ; 0. ; 1.375000179e-002
Job139 ; 3.749996424e-003 ; 0. ; 1.749998331e-003 ; 9.750002623e-003 ; 1.750001311e-003 ; 0. ; 0. ; 1.468750089e-002
Job179 ; 4.249995947e-003 ; 0. ; 2.249997854e-003 ; 1.025000215e-002 ; 0. ; 0. ; 0. ; 1.53125003e-002
Job267 ; 4.499995708e-003 ; 0. ; 2.499997616e-003 ; 1.050000191e-002 ; 0. ; 0. ; 0. ; 1.312499866e-002
Job181 ; 4.74999547e-003 ; 0. ; 2.749997377e-003 ; 1.075000167e-002 ; 0. ; 0. ; 0. ; 1.093749702e-002
Job269 ; 4.999995232e-003 ; 0. ; 2.999997139e-003 ; 1.100000143e-002 ; 0. ; 0. ; 0. ; 8.749995381e-003
Job182 ; 5.749997497e-003 ; 0. ; 3.749999404e-003 ; 1.17500037e-002 ; 0. ; 0. ; 0. ; 2.187497914e-003
Job180 ; 5.999997258e-003 ; 0. ; 3.999999166e-003 ; 1.200000346e-002 ; 2.980232239e-009 ; 0. ; 0. ; 0.
Job268 ; 6.24999702e-003 ; 0. ; 4.249998927e-003 ; 1.225000322e-002 ; 2.500027418e-004 ; 0. ; 0. ; 0.
Job270 ; 6.749996543e-003 ; 0. ; 4.74999845e-003 ; 1.275000274e-002 ; 7.50002265e-004 ; 0. ; 0. ; 0.
Job183 ; 7.499995828e-003 ; 0. ; 5.499997735e-003 ; 1.350000203e-002 ; 1.50000155e-003 ; 0. ; 0. ; 0.
Job271 ; 7.749995589e-003 ; 0. ; 5.749997497e-003 ; 1.375000179e-002 ; 1.750001311e-003 ; 0. ; 0. ; 0.
Job44 ; 8.499997854e-003 ; 0. ; 6.499999762e-003 ; 1.450000405e-002 ; 2.500003576e-003 ; 0. ; 0. ; 0.
Job272 ; 8.749997616e-003 ; 0. ; 6.749999523e-003 ; 1.275000274e-002 ; 2.750003338e-003 ; 0. ; 0. ; 0.
Job48 ; 8.999997377e-003 ; 0. ; 6.999999285e-003 ; 1.30000025e-002 ; 3.000003099e-003 ; 0. ; 0. ; 0.
Job46 ; 9.749996662e-003 ; 0. ; 7.749998569e-003 ; 7.75000155e-003 ; 3.750002384e-003 ; 0. ; 0. ; 0.
Job47 ; 1.049999595e-002 ; 0. ; 8.499997854e-003 ; 2.500000596e-003 ; 4.500001669e-003 ; 5.000025034e-004 ; 0. ; 0.
Job45 ; 1.099999547e-002 ; 0. ; 8.999997377e-003 ; 0. ; 5.000001192e-003 ; 1.000002027e-003 ; 0. ; 0.
Job49 ; 1.149999499e-002 ; 0. ; 9.499996901e-003 ; 0. ; 5.500000715e-003 ; 1.50000155e-003 ; 0. ; 0.
Job184 ; 1.174999475e-002 ; 0. ; 9.749996662e-003 ; 0. ; 5.750000477e-003 ; 1.750001311e-003 ; 0. ; 0.
Job273 ; 9.999993443e-003 ; 0. ; 9.999996424e-003 ; 0. ; 6.000000238e-003 ; 2.000001073e-003 ; 0. ; 0.
Job186 ; 1.024999321e-002 ; 0. ; 8.249995112e-003 ; 0. ; 6.25e-003 ; 2.250000834e-003 ; 0. ; 0.
Job187 ; 8.499997854e-003 ; 0. ; 8.500000834e-003 ; 0. ; 6.500005722e-003 ; 2.500006557e-003 ; 0. ; 0.
Job185 ; 6.749996543e-003 ; 0. ; 8.750000596e-003 ; 0. ; 6.750005484e-003 ; 2.750006318e-003 ; 0. ; 0.
Job275 ; 4.999995232e-003 ; 0. ; 9.000000358e-003 ; 0. ; 7.000005245e-003 ; 3.00000608e-003 ; 0. ; 0.
Job274 ; 5.749994516e-003 ; 0. ; 3.749999404e-003 ; 0. ; 7.75000453e-003 ; 3.750005364e-003 ; 0. ; 0.
Job276 ; 6.24999404e-003 ; 0. ; 2.499997616e-004 ; 0. ; 8.250004053e-003 ; 4.250004888e-003 ; 2.500027418e-004 ; 0.
Job50 ; 6.999993324e-003 ; 0. ; 0. ; 0. ; 9.000003338e-003 ; 5.000004172e-003 ; 1.000002027e-003 ; 0.
Job188 ; 7.249993086e-003 ; 0. ; 0. ; 0. ; 7.250002027e-003 ; 5.250003934e-003 ; 1.250001788e-003 ; 0.
Job140 ; 5.499991775e-003 ; 0. ; 0. ; 0. ; 7.500001788e-003 ; 5.500003695e-003 ; 1.50000155e-003 ; 0.
Job277 ; 5.999991298e-003 ; 0. ; 0. ; 0. ; 4.000002146e-003 ; 6.000003219e-003 ; 2.000001073e-003 ; 0.
Job54 ; 6.749990582e-003 ; 7.499992847e-004 ; 0. ; 0. ; 4.750001431e-003 ; 6.750002503e-003 ; 2.750000358e-003 ; 0.
Job52 ; 7.499989867e-003 ; 1.499998569e-003 ; 0. ; 0. ; 0. ; 7.500001788e-003 ; 3.499999642e-003 ; 0.
Job53 ; 8.249989152e-003 ; 2.249997854e-003 ; 0. ; 2.499997616e-004 ; 0. ; 8.250001073e-003 ; 4.249998927e-003 ; 0.
Job51 ; 8.749988675e-003 ; 2.749997377e-003 ; 0. ; 7.499992847e-004 ; 0. ; 8.750000596e-003 ; 4.74999845e-003 ; 0.
Job278 ; 9.249994159e-003 ; 3.250002861e-003 ; 0. ; 1.250004768e-003 ; 0. ; 9.25000608e-003 ; 5.250003934e-003 ; 0.
Job141 ; 9.49999392e-003 ; 3.500002623e-003 ; 0. ; 1.50000453e-003 ; 0. ; 9.500005841e-003 ; 5.500003695e-003 ; 0.
Job55 ; 1.024999321e-002 ; 4.250001907e-003 ; 0. ; 2.250003815e-003 ; 0. ; 1.025000513e-002 ; 6.25000298e-003 ; 0.
Job142 ; 1.049999297e-002 ; 4.500001669e-003 ; 0. ; 2.500003576e-003 ; 0. ; 1.050000489e-002 ; 6.500002742e-003 ; 0.
Job189 ; 1.099999249e-002 ; 5.000001192e-003 ; 0. ; 3.000003099e-003 ; 0. ; 1.100000441e-002 ; 7.000002265e-003 ; 0.
Job279 ; 1.124999225e-002 ; 5.250000954e-003 ; 0. ; 3.250002861e-003 ; 0. ; 9.250003099e-003 ; 7.250002027e-003 ; 0.
Job191 ; 9.49999094e-003 ; 5.500000715e-003 ; 0. ; 3.500002623e-003 ; 0. ; 9.500002861e-003 ; 7.500001788e-003 ; 0.
Job192 ; 9.749990702e-003 ; 5.750000477e-003 ; 0. ; 3.750002384e-003 ; 0. ; 7.75000155e-003 ; 7.75000155e-003 ; 0.
Job190 ; 9.999990463e-003 ; 6.000000238e-003 ; 0. ; 4.000002146e-003 ; 0. ; 6.000000238e-003 ; 8.000001311e-003 ; 0.
Job281 ; 1.024999022e-002 ; 6.25e-003 ; 0. ; 4.250001907e-003 ; 0. ; 4.250001907e-003 ; 8.250001073e-003 ; 0.
